index:ID,name,code,:LABEL
100333,京山轻机,000821,上市公司
100334,山东海化,000822,上市公司
100335,超声电子,000823,上市公司
100336,太钢不锈,000825,上市公司
100337,启迪桑德,000826,上市公司
100338,东莞控股,000828,上市公司
100339,天音控股,000829,上市公司
100340,鲁西化工,000830,上市公司
100341,五矿稀土,000831,上市公司
100342,贵糖股份,000833,上市公司
100343,长城动漫,000835,上市公司
100344,鑫茂科技,000836,上市公司
100345,秦川机床,000837,上市公司
100346,财信发展,000838,上市公司
100347,中信国安,000839,上市公司
100348,承德露露,000848,上市公司
100349,华茂股份,000850,上市公司
100350,高鸿股份,000851,上市公司
100351,石化机械,000852,上市公司
100352,冀东装备,000856,上市公司
100353,五粮液,000858,上市公司
100354,国风塑业,000859,上市公司
100355,顺鑫农业,000860,上市公司
100356,海印股份,000861,上市公司
100357,银星能源,000862,上市公司
100358,三湘印象,000863,上市公司
100359,安凯客车,000868,上市公司
100360,张裕A,000869,上市公司
100361,吉电股份,000875,上市公司
100362,新希望,000876,上市公司
100363,天山股份,000877,上市公司
100364,云南铜业,000878,上市公司
100365,潍柴重机,000880,上市公司
100366,中广核技,000881,上市公司
100367,华联股份,000882,上市公司
100368,湖北能源,000883,上市公司
100369,同力水泥,000885,上市公司
100370,海南高速,000886,上市公司
100371,中鼎股份,000887,上市公司
100372,峨眉山A,000888,上市公司
100373,茂业通信,000889,上市公司
100374,法尔胜,000890,上市公司
100375,欢瑞世纪,000892,上市公司
100376,*ST东凌,000893,上市公司
100377,双汇发展,000895,上市公司
100378,津滨发展,000897,上市公司
100379,鞍钢股份,000898,上市公司
100380,赣能股份,000899,上市公司
100381,现代投资,000900,上市公司
100382,航天科技,000901,上市公司
100383,新洋丰,000902,上市公司
100384,云内动力,000903,上市公司
100385,厦门港务,000905,上市公司
100386,浙商中拓,000906,上市公司
100387,景峰医药,000908,上市公司
100388,数源科技,000909,上市公司
100389,大亚圣象,000910,上市公司
100390,南宁糖业,000911,上市公司
100391,*ST天化,000912,上市公司
100392,钱江摩托,000913,上市公司
100393,山大华特,000915,上市公司
100394,电广传媒,000917,上市公司
100395,嘉凯城,000918,上市公司
100396,金陵药业,000919,上市公司
100397,南方汇通,000920,上市公司
100398,海信科龙,000921,上市公司
100399,*ST佳电,000922,上市公司
100400,河北宣工,000923,上市公司
100401,众合科技,000925,上市公司
100402,福星股份,000926,上市公司
100403,一汽夏利,000927,上市公司
100404,中钢国际,000928,上市公司
100405,兰州黄河,000929,上市公司
100406,中粮生化,000930,上市公司
100407,中关村,000931,上市公司
100408,*ST华菱,000932,上市公司
100409,神火股份,000933,上市公司
100410,四川双马,000935,上市公司
100411,华西股份,000936,上市公司
100412,冀中能源,000937,上市公司
100413,紫光股份,000938,上市公司
100414,南天信息,000948,上市公司
100415,新乡化纤,000949,上市公司
100416,*ST建峰,000950,上市公司
100417,中国重汽,000951,上市公司
100418,广济药业,000952,上市公司
100419,*ST河化,000953,上市公司
100420,欣龙控股,000955,上市公司
100421,中通客车,000957,上市公司
100422,东方能源,000958,上市公司
100423,首钢股份,000959,上市公司
100424,锡业股份,000960,上市公司
100425,中南建设,000961,上市公司
100426,东方钽业,000962,上市公司
100427,华东医药,000963,上市公司
100428,天保基建,000965,上市公司
100429,长源电力,000966,上市公司
100430,盈峰环境,000967,上市公司
100431,蓝焰控股,000968,上市公司
100432,安泰科技,000969,上市公司
100433,中科三环,000970,上市公司
100434,高升控股,000971,上市公司
100435,*ST中基,000972,上市公司
100436,佛塑科技,000973,上市公司
100437,银泰资源,000975,上市公司
100438,华铁股份,000976,上市公司
100439,浪潮信息,000977,上市公司
100440,桂林旅游,000978,上市公司
100441,中弘股份,000979,上市公司
100442,众泰汽车,000980,上市公司
100443,银亿股份,000981,上市公司
100444,*ST中绒,000982,上市公司
100445,西山煤电,000983,上市公司
100446,大庆华科,000985,上市公司
100447,越秀金控,000987,上市公司
100448,华工科技,000988,上市公司
100449,九芝堂,000989,上市公司
100450,诚志股份,000990,上市公司
100451,闽东电力,000993,上市公司
100452,*ST皇台,000995,上市公司
100453,中国中期,000996,上市公司
100454,新大陆,000997,上市公司
100455,隆平高科,000998,上市公司
100456,华润三九,000999,上市公司
100457,宗申动力,001696,上市公司
100458,豫能控股,001896,上市公司
100459,招商蛇口,001979,上市公司
100460,新和成,002001,上市公司
100461,鸿达兴业,002002,上市公司
100462,伟星股份,002003,上市公司
100463,华邦健康,002004,上市公司
100464,德豪润达,002005,上市公司
100465,精功科技,002006,上市公司
100466,华兰生物,002007,上市公司
100467,大族激光,002008,上市公司
100468,天奇股份,002009,上市公司
100469,传化智联,002010,上市公司
100470,盾安环境,002011,上市公司
100471,凯恩股份,002012,上市公司
100472,中航机电,002013,上市公司
100473,永新股份,002014,上市公司
100474,霞客环保,002015,上市公司
100475,世荣兆业,002016,上市公司
100476,东信和平,002017,上市公司
100477,*ST华信,002018,上市公司
100478,亿帆医药,002019,上市公司
100479,京新药业,002020,上市公司
100480,中捷资源,002021,上市公司
100481,科华生物,002022,上市公司
100482,海特高新,002023,上市公司
100483,苏宁易购,002024,上市公司
100484,航天电器,002025,上市公司
100485,山东威达,002026,上市公司
100486,分众传媒,002027,上市公司
100487,思源电气,002028,上市公司
100488,七匹狼,002029,上市公司
100489,达安基因,002030,上市公司
100490,巨轮智能,002031,上市公司
100491,苏泊尔,002032,上市公司
100492,丽江旅游,002033,上市公司
100493,旺能环境,002034,上市公司
100494,华帝股份,002035,上市公司
100495,联创电子,002036,上市公司
100496,久联发展,002037,上市公司
100497,双鹭药业,002038,上市公司
100498,黔源电力,002039,上市公司
100499,南京港,002040,上市公司
100500,登海种业,002041,上市公司
100501,华孚时尚,002042,上市公司
100502,兔宝宝,002043,上市公司
100503,美年健康,002044,上市公司
100504,国光电器,002045,上市公司
100505,轴研科技,002046,上市公司
100506,宝鹰股份,002047,上市公司
100507,宁波华翔,002048,上市公司
100508,紫光国芯,002049,上市公司
100509,三花智控,002050,上市公司
100510,中工国际,002051,上市公司
100511,同洲电子,002052,上市公司
100512,云南能投,002053,上市公司
100513,德美化工,002054,上市公司
100514,得润电子,002055,上市公司
100515,横店东磁,002056,上市公司
100516,中钢天源,002057,上市公司
100517,威尔泰,002058,上市公司
100518,云南旅游,002059,上市公司
100519,粤水电,002060,上市公司
100520,浙江交科,002061,上市公司
100521,宏润建设,002062,上市公司
100522,远光软件,002063,上市公司
100523,华峰氨纶,002064,上市公司
100524,东华软件,002065,上市公司
100525,瑞泰科技,002066,上市公司
100526,景兴纸业,002067,上市公司
100527,黑猫股份,002068,上市公司
100528,獐子岛,002069,上市公司
100529,*ST众和,002070,上市公司
100530,长城影视,002071,上市公司
100531,凯瑞德,002072,上市公司
100532,软控股份,002073,上市公司
100533,国轩高科,002074,上市公司
100534,沙钢股份,002075,上市公司
100535,雪莱特,002076,上市公司
100536,大港股份,002077,上市公司
100537,太阳纸业,002078,上市公司
100538,苏州固锝,002079,上市公司
100539,中材科技,002080,上市公司
100540,金螳螂,002081,上市公司
100541,栋梁新材,002082,上市公司
100542,孚日股份,002083,上市公司
100543,海鸥住工,002084,上市公司
100544,万丰奥威,002085,上市公司
100545,东方海洋,002086,上市公司
100546,新野纺织,002087,上市公司
100547,鲁阳节能,002088,上市公司
100548,新海宜,002089,上市公司
100549,金智科技,002090,上市公司
100550,江苏国泰,002091,上市公司
100551,中泰化学,002092,上市公司
100552,国脉科技,002093,上市公司
100553,青岛金王,002094,上市公司
100554,生意宝,002095,上市公司
100555,南岭民爆,002096,上市公司
100556,山河智能,002097,上市公司
100557,浔兴股份,002098,上市公司
100558,海翔药业,002099,上市公司
100559,天康生物,002100,上市公司
100560,广东鸿图,002101,上市公司
100561,冠福股份,002102,上市公司
100562,广博股份,002103,上市公司
100563,恒宝股份,002104,上市公司
100564,信隆健康,002105,上市公司
100565,莱宝高科,002106,上市公司
100566,沃华医药,002107,上市公司
100567,沧州明珠,002108,上市公司
100568,兴化股份,002109,上市公司
100569,三钢闽光,002110,上市公司
100570,威海广泰,002111,上市公司
100571,三变科技,002112,上市公司
100572,天润数娱,002113,上市公司
100573,罗平锌电,002114,上市公司
100574,三维通信,002115,上市公司
100575,中国海诚,002116,上市公司
100576,东港股份,002117,上市公司
100577,紫鑫药业,002118,上市公司
100578,康强电子,002119,上市公司
100579,韵达股份,002120,上市公司
100580,科陆电子,002121,上市公司
100581,*ST天马,002122,上市公司
100582,梦网荣信,002123,上市公司
100583,天邦股份,002124,上市公司
100584,湘潭电化,002125,上市公司
100585,银轮股份,002126,上市公司
100586,南极电商,002127,上市公司
100587,露天煤业,002128,上市公司
100588,中环股份,002129,上市公司
100589,沃尔核材,002130,上市公司
100590,利欧股份,002131,上市公司
100591,恒星科技,002132,上市公司
100592,广宇集团,002133,上市公司
100593,天津普林,002134,上市公司
100594,东南网架,002135,上市公司
100595,安纳达,002136,上市公司
100596,麦达数字,002137,上市公司
100597,顺络电子,002138,上市公司
100598,拓邦股份,002139,上市公司
100599,东华科技,002140,上市公司
100600,贤丰控股,002141,上市公司
100601,宁波银行,002142,上市公司
100602,印纪传媒,002143,上市公司
100603,宏达高科,002144,上市公司
100604,中核钛白,002145,上市公司
100605,荣盛发展,002146,上市公司
100606,新光圆成,002147,上市公司
100607,北纬科技,002148,上市公司
100608,西部材料,002149,上市公司
100609,通润装备,002150,上市公司
100610,北斗星通,002151,上市公司
100611,广电运通,002152,上市公司
100612,石基信息,002153,上市公司
100613,报喜鸟,002154,上市公司
100614,湖南黄金,002155,上市公司
100615,通富微电,002156,上市公司
100616,正邦科技,002157,上市公司
100617,汉钟精机,002158,上市公司
100618,三特索道,002159,上市公司
100619,常铝股份,002160,上市公司
100620,远望谷,002161,上市公司
100621,悦心健康,002162,上市公司
100622,中航三鑫,002163,上市公司
100623,宁波东力,002164,上市公司
100624,红宝丽,002165,上市公司
100625,莱茵生物,002166,上市公司
100626,东方锆业,002167,上市公司
100627,深圳惠程,002168,上市公司
100628,智光电气,002169,上市公司
100629,芭田股份,002170,上市公司
100630,楚江新材,002171,上市公司
100631,澳洋科技,002172,上市公司
100632,创新医疗,002173,上市公司
100633,游族网络,002174,上市公司
100634,东方网络,002175,上市公司
100635,江特电机,002176,上市公司
100636,御银股份,002177,上市公司
100637,延华智能,002178,上市公司
100638,中航光电,002179,上市公司
100639,纳思达,002180,上市公司
100640,粤传媒,002181,上市公司
100641,云海金属,002182,上市公司
100642,怡亚通,002183,上市公司
100643,海得控制,002184,上市公司
100644,华天科技,002185,上市公司
100645,全聚德,002186,上市公司
100646,广百股份,002187,上市公司
100647,*ST巴士,002188,上市公司
100648,利达光电,002189,上市公司
100649,成飞集成,002190,上市公司
100650,劲嘉股份,002191,上市公司
100651,融捷股份,002192,上市公司
100652,如意集团,002193,上市公司
100653,*ST凡谷,002194,上市公司
100654,二三四五,002195,上市公司
100655,方正电机,002196,上市公司
100656,证通电子,002197,上市公司
100657,嘉应制药,002198,上市公司
100658,东晶电子,002199,上市公司
100659,云投生态,002200,上市公司
100660,九鼎新材,002201,上市公司
100661,金风科技,002202,上市公司
100662,海亮股份,002203,上市公司
100663,大连重工,002204,上市公司
100664,国统股份,002205,上市公司
100665,海利得,002206,上市公司
100666,*ST准油,002207,上市公司
100667,合肥城建,002208,上市公司
100668,达意隆,002209,上市公司
100669,飞马国际,002210,上市公司
100670,宏达新材,002211,上市公司
100671,南洋股份,002212,上市公司
100672,特尔佳,002213,上市公司
100673,大立科技,002214,上市公司
100674,诺普信,002215,上市公司
100675,三全食品,002216,上市公司
100676,合力泰,002217,上市公司
100677,拓日新能,002218,上市公司
100678,恒康医疗,002219,上市公司
100679,天宝食品,002220,上市公司
100680,东华能源,002221,上市公司
100681,福晶科技,002222,上市公司
100682,鱼跃医疗,002223,上市公司
100683,三力士,002224,上市公司
100684,濮耐股份,002225,上市公司
100685,江南化工,002226,上市公司
100686,奥特迅,002227,上市公司
100687,合兴包装,002228,上市公司
100688,鸿博股份,002229,上市公司
100689,科大讯飞,002230,上市公司
100690,奥维通信,002231,上市公司
100691,启明信息,002232,上市公司
100692,塔牌集团,002233,上市公司
100693,民和股份,002234,上市公司
100694,安妮股份,002235,上市公司
100695,大华股份,002236,上市公司
100696,恒邦股份,002237,上市公司
100697,天威视讯,002238,上市公司
100698,奥特佳,002239,上市公司
100699,威华股份,002240,上市公司
100700,歌尔股份,002241,上市公司
100701,九阳股份,002242,上市公司
100702,通产丽星,002243,上市公司
100703,滨江集团,002244,上市公司
100704,澳洋顺昌,002245,上市公司
100705,北化股份,002246,上市公司
100706,帝龙文化,002247,上市公司
100707,华东数控,002248,上市公司
100708,大洋电机,002249,上市公司
100709,联化科技,002250,上市公司
100710,步步高,002251,上市公司
100711,上海莱士,002252,上市公司
100712,川大智胜,002253,上市公司
100713,泰和新材,002254,上市公司
100714,海陆重工,002255,上市公司
100715,彩虹精化,002256,上市公司
100716,利尔化学,002258,上市公司
